VoidSymbol ffffff
Thai_khokhwai 0da4
Thai_khokhon 0da5
Thai_khorakhang 0da6
Thai_ngongu 0da7
Thai_chochan 0da8
Thai_choching 0da9
Thai_chochang 0daa
Thai_soso 0dab
Thai_chochoe 0dac
Thai_yoying 0dad
Thai_dochada 0dae
Thai_topatak 0daf
Thai_thothan 0db0
Thai_thonangmontho 0db1
Thai_thophuthao 0db2
Thai_nonen 0db3
Thai_dodek 0db4
Thai_totao 0db5
Thai_thothung 0db6
Thai_thothahan 0db7
Thai_thothong 0db8
Thai_nonu 0db9
Thai_bobaimai 0dba
Thai_popla 0dbb
Thai_phophung 0dbc
Thai_fofa 0dbd
Thai_phophan 0dbe
Thai_fofan 0dbf
Thai_phosamphao 0dc0
Thai_moma 0dc1
Thai_yoyak 0dc2
Thai_rorua 0dc3
Thai_ru 0dc4
Thai_loling 0dc5
Thai_lu 0dc6
Thai_wowaen 0dc7
Thai_sosala 0dc8
Thai_sorusi 0dc9
Thai_sosua 0dca
Thai_hohip 0dcb
Thai_lochula 0dcc
Thai_oang 0dcd
Thai_honokhuk 0dce
Thai_paiyannoi 0dcf
Thai_saraa 0dd0
Thai_maihanakat 0dd1
Thai_saraaa 0dd2
Thai_saraam 0dd3
Thai_sarai 0dd4
Thai_saraii 0dd5
Thai_saraue 0dd6
Thai_sarauee 0dd7
Thai_sarau 0dd8
Thai_sarauu 0dd9
Thai_phinthu 0dda
Thai_maihanakat_maitho 0dde
Thai_baht 0ddf
Thai_sarae 0de0
Thai_saraae 0de1
Thai_sarao 0de2
Thai_saraaimaimuan 0de3
Thai_saraaimaimalai 0de4
Thai_lakkhangyao 0de5
Thai_maiyamok 0de6
Thai_maitaikhu 0de7
Thai_maiek 0de8
Thai_maitho 0de9
Thai_maitri 0dea
Thai_maichattawa 0deb
Thai_thanthakhat 0dec
Thai_nikhahit 0ded
Thai_leksun 0df0
Thai_leknung 0df1
Thai_leksong 0df2
Thai_leksam 0df3
Thai_leksi 0df4
Thai_lekha 0df5
Thai_lekhok 0df6
Thai_lekchet 0df7
Thai_lekpaet 0df8
Thai_lekkao 0df9
Hangul ff31
Hangul_Start ff32
Hangul_End ff33
Hangul_Hanja ff34
Hangul_Jamo ff35
Hangul_Romaja ff36
Hangul_Codeinput ff37
Hangul_Jeonja ff38
Hangul_Banja ff39
Hangul_PreHanja ff3a
Hangul_PostHanja ff3b
Hangul_SingleCandidate ff3c
Hangul_MultipleCandidate ff3d
Hangul_PreviousCandidate ff3e
Hangul_Special ff3f
Hangul_switch ff7e
Hangul_Kiyeog 0ea1
Hangul_SsangKiyeog 0ea2
Hangul_KiyeogSios 0ea3
Hangul_Nieun 0ea4
Hangul_NieunJieuj 0ea5
Hangul_NieunHieuh 0ea6
Hangul_Dikeud 0ea7
Hangul_SsangDikeud 0ea8
Hangul_Rieul 0ea9
Hangul_RieulKiyeog 0eaa
Hangul_RieulMieum 0eab
Hangul_RieulPieub 0eac
Hangul_RieulSios 0ead
Hangul_RieulTieut 0eae
Hangul_RieulPhieuf 0eaf
Hangul_RieulHieuh 0eb0
Hangul_Mieum 0eb1
Hangul_Pieub 0eb2
Hangul_SsangPieub 0eb3
Hangul_PieubSios 0eb4
Hangul_Sios 0eb5
Hangul_SsangSios 0eb6
Hangul_Ieung 0eb7
Hangul_Jieuj 0eb8
Hangul_SsangJieuj 0eb9
Hangul_Cieuc 0eba
Hangul_Khieuq 0ebb
Hangul_Tieut 0ebc
Hangul_Phieuf 0ebd
Hangul_Hieuh 0ebe
Hangul_A 0ebf
Hangul_AE 0ec0
Hangul_YA 0ec1
Hangul_YAE 0ec2
Hangul_EO 0ec3
Hangul_E 0ec4
Hangul_YEO 0ec5
Hangul_YE 0ec6
Hangul_O 0ec7
Hangul_WA 0ec8
Hangul_WAE 0ec9
Hangul_OE 0eca
Hangul_YO 0ecb
Hangul_U 0ecc
Hangul_WEO 0ecd
Hangul_WE 0ece
Hangul_WI 0ecf
Hangul_YU 0ed0
Hangul_EU 0ed1
Hangul_YI 0ed2
Hangul_I 0ed3
Hangul_J_Kiyeog 0ed4
Hangul_J_SsangKiyeog 0ed5
Hangul_J_KiyeogSios 0ed6
Hangul_J_Nieun 0ed7
Hangul_J_NieunJieuj 0ed8
Hangul_J_NieunHieuh 0ed9
Hangul_J_Dikeud 0eda
Hangul_J_Rieul 0edb
Hangul_J_RieulKiyeog 0edc
Hangul_J_RieulMieum 0edd
Hangul_J_RieulPieub 0ede
Hangul_J_RieulSios 0edf
Hangul_J_RieulTieut 0ee0
Hangul_J_RieulPhieuf 0ee1
Hangul_J_RieulHieuh 0ee2
Hangul_J_Mieum 0ee3
Hangul_J_Pieub 0ee4
Hangul_J_PieubSios 0ee5
Hangul_J_Sios 0ee6
Hangul_J_SsangSios 0ee7
Hangul_J_Ieung 0ee8
Hangul_J_Jieuj 0ee9
Hangul_J_Cieuc 0eea
Hangul_J_Khieuq 0eeb
Hangul_J_Tieut 0eec
Hangul_J_Phieuf 0eed
Hangul_J_Hieuh 0eee
Hangul_RieulYeorinHieuh 0eef
Hangul_SunkyeongeumMieum 0ef0
Hangul_SunkyeongeumPieub 0ef1
Hangul_PanSios 0ef2
Hangul_KkogjiDalrinIeung 0ef3
Hangul_SunkyeongeumPhieuf 0ef4
Hangul_YeorinHieuh 0ef5
Hangul_AraeA 0ef6
Hangul_AraeAE 0ef7
Hangul_J_PanSios 0ef8
Hangul_J_KkogjiDalrinIeung 0ef9
Hangul_J_YeorinHieuh 0efa
Korean_Won 0eff
Armenian_ligature_ew 1000587
Armenian_full_stop 1000589
Armenian_verjaket 1000589
Armenian_separation_mark 100055d
Armenian_but 100055d
Armenian_hyphen 100058a
Armenian_yentamna 100058a
Armenian_exclam 100055c
Armenian_amanak 100055c
Armenian_accent 100055b
Armenian_shesht 100055b
Armenian_question 100055e
Armenian_paruyk 100055e
Armenian_AYB 1000531
Armenian_ayb 1000561
Armenian_BEN 1000532
Armenian_ben 1000562
Armenian_GIM 1000533
Armenian_gim 1000563
Armenian_DA 1000534
Armenian_da 1000564
Armenian_YECH 1000535
Armenian_yech 1000565
Armenian_ZA 1000536
Armenian_za 1000566
Armenian_E 1000537
Armenian_e 1000567
Armenian_AT 1000538
Armenian_at 1000568
Armenian_TO 1000539
Armenian_to 1000569
Armenian_ZHE 100053a
Armenian_zhe 100056a
Armenian_INI 100053b
Armenian_ini 100056b
Armenian_LYUN 100053c
Armenian_lyun 100056c
Armenian_KHE 100053d
Armenian_khe 100056d
Armenian_TSA 100053e
Armenian_tsa 100056e
Armenian_KEN 100053f
Armenian_ken 100056f
Armenian_HO 1000540
Armenian_ho 1000570
Armenian_DZA 1000541
Armenian_dza 1000571
Armenian_GHAT 1000542
Armenian_ghat 1000572
Armenian_TCHE 1000543
Armenian_tche 1000573
Armenian_MEN 1000544
Armenian_men 1000574
Armenian_HI 1000545
Armenian_hi 1000575
Armenian_NU 1000546
Armenian_nu 1000576
Armenian_SHA 1000547
Armenian_sha 1000577
Armenian_VO 1000548
Armenian_vo 1000578
Armenian_CHA 1000549
Armenian_cha 1000579
Armenian_PE 100054a
Armenian_pe 100057a
Armenian_JE 100054b
Armenian_je 100057b
Armenian_RA 100054c
Armenian_ra 100057c
Armenian_SE 100054d
Armenian_se 100057d
Armenian_VEV 100054e
Armenian_vev 100057e
Armenian_TYUN 100054f
Armenian_tyun 100057f
Armenian_RE 1000550
Armenian_re 1000580
Armenian_TSO 1000551
Armenian_tso 1000581
Armenian_VYUN 1000552
Armenian_vyun 1000582
Armenian_PYUR 1000553
Armenian_pyur 1000583
Armenian_KE 1000554
Armenian_ke 1000584
Armenian_O 1000555
Armenian_o 1000585
Armenian_FE 1000556
Armenian_fe 1000586
Armenian_apostrophe 100055a
Georgian_an 10010d0
Georgian_ban 10010d1
Georgian_gan 10010d2
Georgian_don 10010d3
Georgian_en 10010d4
Georgian_vin 10010d5
Georgian_zen 10010d6
Georgian_tan 10010d7
Georgian_in 10010d8
Georgian_kan 10010d9
Georgian_las 10010da
Georgian_man 10010db
Georgian_nar 10010dc
Georgian_on 10010dd
Georgian_par 10010de
Georgian_zhar 10010df
Georgian_rae 10010e0
Georgian_san 10010e1
Georgian_tar 10010e2
Georgian_un 10010e3
Georgian_phar 10010e4
Georgian_khar 10010e5
Georgian_ghan 10010e6
Georgian_qar 10010e7
Georgian_shin 10010e8
Georgian_chin 10010e9
Georgian_can 10010ea
Georgian_jil 10010eb
Georgian_cil 10010ec
Georgian_char 10010ed
Georgian_xan 10010ee
Georgian_jhan 10010ef
Georgian_hae 10010f0
Georgian_he 10010f1
Georgian_hie 10010f2
Georgian_we 10010f3
Georgian_har 10010f4
Georgian_hoe 10010f5
Georgian_fi 10010f6
Xabovedot 1001e8a
Ibreve 100012c
Zstroke 10001b5
Gcaron 10001e6
Ocaron 10001d1
Obarred 100019f
xabovedot 1001e8b
ibreve 100012d
zstroke 10001b6
gcaron 10001e7
ocaron 10001d2
obarred 1000275
SCHWA 100018f
schwa 1000259
EZH 10001b7
ezh 1000292
Lbelowdot 1001e36
lbelowdot 1001e37
Abelowdot 1001ea0
abelowdot 1001ea1
Ahook 1001ea2
ahook 1001ea3
Acircumflexacute 1001ea4
acircumflexacute 1001ea5
Acircumflexgrave 1001ea6
acircumflexgrave 1001ea7
Acircumflexhook 1001ea8
acircumflexhook 1001ea9
Acircumflextilde 1001eaa
acircumflextilde 1001eab
Acircumflexbelowdot 1001eac
acircumflexbelowdot 1001ead
Abreveacute 1001eae
abreveacute 1001eaf
Abrevegrave 1001eb0
abrevegrave 1001eb1
Abrevehook 1001eb2
abrevehook 1001eb3
Abrevetilde 1001eb4
abrevetilde 1001eb5
Abrevebelowdot 1001eb6
abrevebelowdot 1001eb7
Ebelowdot 1001eb8
ebelowdot 1001eb9
Ehook 1001eba
ehook 1001ebb
Etilde 1001ebc
etilde 1001ebd
Ecircumflexacute 1001ebe
ecircumflexacute 1001ebf
Ecircumflexgrave 1001ec0
ecircumflexgrave 1001ec1
Ecircumflexhook 1001ec2
ecircumflexhook 1001ec3
Ecircumflextilde 1001ec4
ecircumflextilde 1001ec5
Ecircumflexbelowdot 1001ec6
ecircumflexbelowdot 1001ec7
Ihook 1001ec8
ihook 1001ec9
Ibelowdot 1001eca
ibelowdot 1001ecb
Obelowdot 1001ecc
obelowdot 1001ecd
Ohook 1001ece
ohook 1001ecf
Ocircumflexacute 1001ed0
ocircumflexacute 1001ed1
Ocircumflexgrave 1001ed2
ocircumflexgrave 1001ed3
Ocircumflexhook 1001ed4
ocircumflexhook 1001ed5
Ocircumflextilde 1001ed6
ocircumflextilde 1001ed7
Ocircumflexbelowdot 1001ed8
ocircumflexbelowdot 1001ed9
Ohornacute 1001eda
ohornacute 1001edb
Ohorngrave 1001edc
ohorngrave 1001edd
Ohornhook 1001ede
ohornhook 1001edf
Ohorntilde 1001ee0
ohorntilde 1001ee1
Ohornbelowdot 1001ee2
ohornbelowdot 1001ee3
Ubelowdot 1001ee4
ubelowdot 1001ee5
Uhook 1001ee6
uhook 1001ee7
Uhornacute 1001ee8
uhornacute 1001ee9
Uhorngrave 1001eea
uhorngrave 1001eeb
Uhornhook 1001eec
uhornhook 1001eed
Uhorntilde 1001eee
uhorntilde 1001eef
Uhornbelowdot 1001ef0
uhornbelowdot 1001ef1
Ybelowdot 1001ef4
ybelowdot 1001ef5
Yhook 1001ef6
yhook 1001ef7
Ytilde 1001ef8
ytilde 1001ef9
Ohorn 10001a0
ohorn 10001a1
Uhorn 10001af
uhorn 10001b0
combining_tilde 1000303
combining_grave 1000300
combining_acute 1000301
combining_hook 1000309
combining_belowdot 1000323
EcuSign 10020a0
ColonSign 10020a1
CruzeiroSign 10020a2
FFrancSign 10020a3
LiraSign 10020a4
MillSign 10020a5
NairaSign 10020a6
PesetaSign 10020a7
RupeeSign 10020a8
WonSign 10020a9
NewSheqelSign 10020aa
DongSign 10020ab
EuroSign 20ac
zerosuperior 1002070
foursuperior 1002074
fivesuperior 1002075
sixsuperior 1002076
sevensuperior 1002077
eightsuperior 1002078
ninesuperior 1002079
zerosubscript 1002080
onesubscript 1002081
twosubscript 1002082
threesubscript 1002083
foursubscript 1002084
fivesubscript 1002085
sixsubscript 1002086
sevensubscript 1002087
eightsubscript 1002088
ninesubscript 1002089
partdifferential 1002202
emptyset 1002205
elementof 1002208
notelementof 1002209
containsas 100220b
squareroot 100221a
cuberoot 100221b
fourthroot 100221c
dintegral 100222c
tintegral 100222d
because 1002235
approxeq 1002248
notapproxeq 1002247
notidentical 1002262
stricteq 1002263
braille_dot_1 fff1
braille_dot_2 fff2
braille_dot_3 fff3
braille_dot_4 fff4
braille_dot_5 fff5
braille_dot_6 fff6
braille_dot_7 fff7
braille_dot_8 fff8
braille_dot_9 fff9
braille_dot_10 fffa
braille_blank 1002800
braille_dots_1 1002801
braille_dots_2 1002802
braille_dots_12 1002803
braille_dots_3 1002804
braille_dots_13 1002805
braille_dots_23 1002806
braille_dots_123 1002807
braille_dots_4 1002808
braille_dots_14 1002809
braille_dots_24 100280a
braille_dots_124 100280b
braille_dots_34 100280c
braille_dots_134 100280d
braille_dots_234 100280e
braille_dots_1234 100280f
braille_dots_5 1002810
braille_dots_15 1002811
braille_dots_25 1002812
braille_dots_125 1002813
braille_dots_35 1002814
braille_dots_135 1002815
braille_dots_235 1002816
braille_dots_1235 1002817
braille_dots_45 1002818
braille_dots_145 1002819
braille_dots_245 100281a
braille_dots_1245 100281b
braille_dots_345 100281c
braille_dots_1345 100281d
braille_dots_2345 100281e
braille_dots_12345 100281f
braille_dots_6 1002820
braille_dots_16 1002821
braille_dots_26 1002822
braille_dots_126 1002823
braille_dots_36 1002824
braille_dots_136 1002825
braille_dots_236 1002826
braille_dots_1236 1002827
braille_dots_46 1002828
braille_dots_146 1002829
braille_dots_246 100282a
braille_dots_1246 100282b
braille_dots_346 100282c
braille_dots_1346 100282d
braille_dots_2346 100282e
braille_dots_12346 100282f
braille_dots_56 1002830
braille_dots_156 1002831
braille_dots_256 1002832
braille_dots_1256 1002833
braille_dots_356 1002834
braille_dots_1356 1002835
braille_dots_2356 1002836
braille_dots_12356 1002837
braille_dots_456 1002838
braille_dots_1456 1002839
braille_dots_2456 100283a
braille_dots_12456 100283b
braille_dots_3456 100283c
braille_dots_13456 100283d
braille_dots_23456 100283e
braille_dots_123456 100283f
braille_dots_7 1002840
braille_dots_17 1002841
braille_dots_27 1002842
braille_dots_127 1002843
braille_dots_37 1002844
braille_dots_137 1002845
braille_dots_237 1002846
braille_dots_1237 1002847
braille_dots_47 1002848
braille_dots_147 1002849
braille_dots_247 100284a
braille_dots_1247 100284b
braille_dots_347 100284c
braille_dots_1347 100284d
braille_dots_2347 100284e
braille_dots_12347 100284f
braille_dots_57 1002850
braille_dots_157 1002851
braille_dots_257 1002852
braille_dots_1257 1002853
braille_dots_357 1002854
braille_dots_1357 1002855
braille_dots_2357 1002856
braille_dots_12357 1002857
braille_dots_457 1002858
braille_dots_1457 1002859
braille_dots_2457 100285a
braille_dots_12457 100285b
braille_dots_3457 100285c
braille_dots_13457 100285d
braille_dots_23457 100285e
braille_dots_123457 100285f
braille_dots_67 1002860
braille_dots_167 1002861
braille_dots_267 1002862
braille_dots_1267 1002863
braille_dots_367 1002864
braille_dots_1367 1002865
braille_dots_2367 1002866
braille_dots_12367 1002867
braille_dots_467 1002868
braille_dots_1467 1002869
braille_dots_2467 100286a
braille_dots_12467 100286b
braille_dots_3467 100286c
braille_dots_13467 100286d
braille_dots_23467 100286e
braille_dots_123467 100286f
braille_dots_567 1002870
braille_dots_1567 1002871
braille_dots_2567 1002872
braille_dots_12567 1002873
braille_dots_3567 1002874
braille_dots_13567 1002875
braille_dots_23567 1002876
braille_dots_123567 1002877
braille_dots_4567 1002878
braille_dots_14567 1002879
braille_dots_24567 100287a
braille_dots_124567 100287b
braille_dots_34567 100287c
braille_dots_134567 100287d
braille_dots_234567 100287e
braille_dots_1234567 100287f
braille_dots_8 1002880
braille_dots_18 1002881
braille_dots_28 1002882
braille_dots_128 1002883
braille_dots_38 1002884
braille_dots_138 1002885
braille_dots_238 1002886
braille_dots_1238 1002887
braille_dots_48 1002888
braille_dots_148 1002889
braille_dots_248 100288a
braille_dots_1248 100288b
braille_dots_348 100288c
braille_dots_1348 100288d
braille_dots_2348 100288e
braille_dots_12348 100288f
braille_dots_58 1002890
braille_dots_158 1002891
braille_dots_258 1002892
braille_dots_1258 1002893
braille_dots_358 1002894
braille_dots_1358 1002895
braille_dots_2358 1002896
braille_dots_12358 1002897
braille_dots_458 1002898
braille_dots_1458 1002899
braille_dots_2458 100289a
braille_dots_12458 100289b
braille_dots_3458 100289c
braille_dots_13458 100289d
braille_dots_23458 100289e
braille_dots_123458 100289f
braille_dots_68 10028a0
braille_dots_168 10028a1
braille_dots_268 10028a2
braille_dots_1268 10028a3
braille_dots_368 10028a4
braille_dots_1368 10028a5
braille_dots_2368 10028a6
braille_dots_12368 10028a7
braille_dots_468 10028a8
braille_dots_1468 10028a9
braille_dots_2468 10028aa
braille_dots_12468 10028ab
braille_dots_3468 10028ac
braille_dots_13468 10028ad
braille_dots_23468 10028ae
braille_dots_123468 10028af
braille_dots_568 10028b0
braille_dots_1568 10028b1
braille_dots_2568 10028b2
braille_dots_12568 10028b3
braille_dots_3568 10028b4
braille_dots_13568 10028b5
braille_dots_23568 10028b6
braille_dots_123568 10028b7
braille_dots_4568 10028b8
braille_dots_14568 10028b9
braille_dots_24568 10028ba
braille_dots_124568 10028bb
braille_dots_34568 10028bc
braille_dots_134568 10028bd
braille_dots_234568 10028be
braille_dots_1234568 10028bf
braille_dots_78 10028c0
braille_dots_178 10028c1
braille_dots_278 10028c2
braille_dots_1278 10028c3
braille_dots_378 10028c4
braille_dots_1378 10028c5
braille_dots_2378 10028c6
braille_dots_12378 10028c7
braille_dots_478 10028c8
braille_dots_1478 10028c9
braille_dots_2478 10028ca
braille_dots_12478 10028cb
braille_dots_3478 10028cc
braille_dots_13478 10028cd
braille_dots_23478 10028ce
braille_dots_123478 10028cf
braille_dots_578 10028d0
braille_dots_1578 10028d1
braille_dots_2578 10028d2
braille_dots_12578 10028d3
braille_dots_3578 10028d4
braille_dots_13578 10028d5
braille_dots_23578 10028d6
braille_dots_123578 10028d7
braille_dots_4578 10028d8
braille_dots_14578 10028d9
braille_dots_24578 10028da
braille_dots_124578 10028db
braille_dots_34578 10028dc
braille_dots_134578 10028dd
braille_dots_234578 10028de
braille_dots_1234578 10028df
braille_dots_678 10028e0
braille_dots_1678 10028e1
braille_dots_2678 10028e2
braille_dots_12678 10028e3
braille_dots_3678 10028e4
braille_dots_13678 10028e5
braille_dots_23678 10028e6
braille_dots_123678 10028e7
braille_dots_4678 10028e8
braille_dots_14678 10028e9
braille_dots_24678 10028ea
braille_dots_124678 10028eb
braille_dots_34678 10028ec
braille_dots_134678 10028ed
braille_dots_234678 10028ee
braille_dots_1234678 10028ef
braille_dots_5678 10028f0
braille_dots_15678 10028f1
braille_dots_25678 10028f2
braille_dots_125678 10028f3
braille_dots_35678 10028f4
braille_dots_135678 10028f5
braille_dots_235678 10028f6
braille_dots_1235678 10028f7
braille_dots_45678 10028f8
braille_dots_145678 10028f9
braille_dots_245678 10028fa
braille_dots_1245678 10028fb
braille_dots_345678 10028fc
braille_dots_1345678 10028fd
braille_dots_2345678 10028fe
braille_dots_12345678 10028ff
Sinh_ng 1000d82
Sinh_h2 1000d83
Sinh_a 1000d85
Sinh_aa 1000d86
Sinh_ae 1000d87
Sinh_aee 1000d88
Sinh_i 1000d89
Sinh_ii 1000d8a
Sinh_u 1000d8b
Sinh_uu 1000d8c
Sinh_ri 1000d8d
Sinh_rii 1000d8e
Sinh_lu 1000d8f
Sinh_luu 1000d90
Sinh_e 1000d91
Sinh_ee 1000d92
Sinh_ai 1000d93
Sinh_o 1000d94
Sinh_oo 1000d95
Sinh_au 1000d96
Sinh_ka 1000d9a
Sinh_kha 1000d9b
Sinh_ga 1000d9c
Sinh_gha 1000d9d
Sinh_ng2 1000d9e
Sinh_nga 1000d9f
Sinh_ca 1000da0
Sinh_cha 1000da1
Sinh_ja 1000da2
Sinh_jha 1000da3
Sinh_nya 1000da4
Sinh_jnya 1000da5
Sinh_nja 1000da6
Sinh_tta 1000da7
Sinh_ttha 1000da8
Sinh_dda 1000da9
Sinh_ddha 1000daa
Sinh_nna 1000dab
Sinh_ndda 1000dac
Sinh_tha 1000dad
Sinh_thha 1000dae
Sinh_dha 1000daf
Sinh_dhha 1000db0
Sinh_na 1000db1
Sinh_ndha 1000db3
Sinh_pa 1000db4
Sinh_pha 1000db5
Sinh_ba 1000db6
Sinh_bha 1000db7
Sinh_ma 1000db8
Sinh_mba 1000db9
Sinh_ya 1000dba
Sinh_ra 1000dbb
Sinh_la 1000dbd
Sinh_va 1000dc0
Sinh_sha 1000dc1
Sinh_ssha 1000dc2
Sinh_sa 1000dc3
Sinh_ha 1000dc4
Sinh_lla 1000dc5
Sinh_fa 1000dc6
Sinh_al 1000dca
Sinh_aa2 1000dcf
Sinh_ae2 1000dd0
Sinh_aee2 1000dd1
Sinh_i2 1000dd2
Sinh_ii2 1000dd3
Sinh_u2 1000dd4
Sinh_uu2 1000dd6
Sinh_ru2 1000dd8
Sinh_e2 1000dd9
Sinh_ee2 1000dda
Sinh_ai2 1000ddb
Sinh_o2 1000ddc
Sinh_oo2 1000ddd
Sinh_au2 1000dde
Sinh_lu2 1000ddf
Sinh_ruu2 1000df2
Sinh_luu2 1000df3
Sinh_kunddaliya 1000df4
